,IMPAQ Category,Keyword,Title,Authors,Publication Date,Type,Tag,Link
80,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,"How Community Organizing Promotes Health Equity, And How Health Equity Affects Organizing","Manuel Pastor, Veronica Terriquez, and May Lin",March-2018,RESEARCH ARTICLE,HEALTH EQUITY,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1285
81,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,Examining Whether The Health-In-All-Policies Approach Promotes Health Equity,Richard L. Hall and Peter D. Jacobson,March-2018,RESEARCH ARTICLE,HEALTH EQUITY,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1292
82,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,Promoting Health Equity And Eliminating Disparities Through Performance Measurement And Payment,"Andrew C. Anderson, Erin O’Rourke, Marshall H. Chin, Ninez A. Ponce, Susannah M. Bernheim, and Helen Burstin",March-2018,RESEARCH ARTICLE,HEALTH EQUITY,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1301
83,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,Health Departments With A Commitment To Health Equity: A More Skilled Workforce And Higher-Quality Collaborations,"Karishma S. Furtado, Carol Brownson, Zarina Fershteyn, Marti Macchi, Amy Eyler, Cheryl Valko, and Ross C. Brownson",January-2018,RESEARCH ARTICLE,CULTURE OF HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1173
84,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,Challenges To Reducing Discrimination And Health Inequity Through Existing Civil Rights Laws,"Amitabh Chandra, Michael Frakes, and Anup Malani",June-2017,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1091
85,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,Identifying Policy Levers And Opportunities For Action Across States To Achieve Health Equity,"Julia Berenson, Yan Li, Julia Lynch, and José A. Pagán",June-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0004
86,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,Organizational Change Management For Health Equity: Perspectives From The Disparities Leadership Program,"Joseph R. Betancourt, Aswita Tan-McGrory, Karey S. Kenst, Thuy Hoai Phan, and Lenny Lopez",June-2017,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0022
87,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,Promoting Health Equity And Population Health: How Americans’ Views Differ,"Larry Bye, Alyssa Ghirardelli, and Angela Fontes",November-2016,RESEARCH ARTICLE,CULTURE OF HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0730
88,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,"Achieving Health Equity: Closing The Gaps In Health Care Disparities, Interventions, And Research","Tanjala S. Purnell, Elizabeth A. Calhoun, Sherita H. Golden, Jacqueline R. Halladay, Jessica L. Krok-Schoen, Bradley M. Appelhans, and Lisa A. Cooper",August-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0158
89,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,"Improving Health Care Coverage, Equity, And Financial Protection Through A Hybrid System: Malaysia’s Experience","Ravindra P. Rannan-Eliya, Chamara Anuranga, Adilius Manual, Sondi Sararaks, Anis S. Jailani, Abdul J. Hamid, Izzanie M. Razif, Ee H. Tan, and Ara Darzi",May-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0863
90,COMPLEX MEDICAL/SOCIAL NEEDS,health equity,High-Quality Health Care: The Essential Route To Eliminating Disparities And Achieving Health Equity,Anne C. Beal,October-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0976
91,COMPLEX MEDICAL/SOCIAL NEEDS,dual eligible,"Trends In Medicare Fee-For-Service Spending Growth For Dual-Eligible Beneficiaries, 2007–15","Laura M. Keohane, David G. Stevenson, Salama Freed, Sunita Thapa, Lucas Stewart, and Melinda B. Buntin",August-2018,RESEARCH ARTICLE,CONSIDERING HEALTH SPENDING,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0143
92,COMPLEX MEDICAL/SOCIAL NEEDS,dual eligible,Passive Enrollment Of Dual-Eligible Beneficiaries Into Medicare And Medicaid Managed Care Has Not Met Expectations,"David C. Grabowski, Nina R. Joyce, Thomas G. McGuire, and Richard G. Frank",May-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1082
93,COMPLEX MEDICAL/SOCIAL NEEDS,dual eligible,Dx For A Careful Approach To Moving Dual-Eligible Beneficiaries Into Managed Care Plans,"Patricia Neuman, Barbara Lyons, Jennifer Rentas, and Diane Rowland",June-2012,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0160
94,COMPLEX MEDICAL/SOCIAL NEEDS,case management,What Works In Chronic Care Management: The Case Of Heart Failure,"Julie Sochalski, Tiny Jaarsma, Harlan M. Krumholz, Ann Laramee, John J.V. McMurray, Mary D. Naylor, Michael W. Rich, Barbara Riegel, and Simon Stewart",January-2009,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.28.1.179
95,CHRONIC CONDITIONS,chronic conditions,Behavioral And Other Chronic Conditions Among Adult Medicaid Enrollees: Implications For Work Requirements,"Hefei Wen, Brendan Saloner, and Janet R. Cummings",April-2019,RESEARCH ARTICLE,MEDICAID,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.05059
96,CHRONIC CONDITIONS,chronic conditions,The Affordable Care Act’s Marketplaces Expanded Insurance Coverage For Adults With Chronic Health Conditions,"Michael Karpman, Sharon K. Long, and Lea Bart",April-2018,RESEARCH ARTICLE,AFFORDABLE CARE ACT,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1505
97,CHRONIC CONDITIONS,chronic conditions,Accumulation Of Chronic Conditions At The Time Of Death Increased In Ontario From 1994 To 2013,"Laura Rosella, Kathy Kornas, Anjie Huang, Catherine Bornbaum, David Henry, and Walter P. Wodchis",March-2018,RESEARCH ARTICLE,GLOBAL HEALTH POLICY,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1150
98,CHRONIC CONDITIONS,chronic conditions,"Chronic Conditions, Workplace Safety, And Job Demands Contribute To Absenteeism And Job Performance","Kimberly Jinnett, Natalie Schwatka, Liliana Tenney, Claire v. S. Brockbank, and Lee S. Newman",February-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1151
99,CHRONIC CONDITIONS,chronic conditions,Care Management Processes Used Less Often For Depression Than For Other Chronic Conditions In US Primary Care Practices,"Tara F. Bishop, Patricia P. Ramsay, Lawrence P. Casalino, Yuhua Bao, Harold A. Pincus, and Stephen M. Shortell",March-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1068
100,CHRONIC CONDITIONS,chronic conditions,Estimating The Potential Impact Of Insurance Expansion On Undiagnosed And Uncontrolled Chronic Conditions,"Daniel R. Hogan, Goodarz Danaei, Majid Ezzati, Philip M. Clarke, Ashish K. Jha, and Joshua A. Salomon",September-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1435
101,CHRONIC CONDITIONS,chronic conditions,Living In A Country With A Strong Primary Care System Is Beneficial To People With Chronic Conditions,"Johan Hansen, Peter P. Groenewegen, Wienke G. W. Boerma, and Dionne S. Kringos",September-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0582
102,CHRONIC CONDITIONS,chronic conditions,"The Rise In Chronic Conditions Among Infants, Children, And Youth Can Be Met With Continued Health System Innovations","James M. Perrin, L. Elizabeth Anderson, and Jeanne Van Cleave",December-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0832
103,CHRONIC CONDITIONS,chronic conditions,A Comparison Of How Four Countries Use Health IT To Support Care For People With Chronic Conditions,"Julia Adler-Milstein, Nandini Sarma, Liana R. Woskie, and Ashish K. Jha",September-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0424
104,CHRONIC CONDITIONS,chronic conditions,Transitional Care Cut Hospital Readmissions For North Carolina Medicaid Patients With Complex Chronic Conditions,"Carlos T. Jackson, Troy K. Trygstad, Darren A. DeWalt, and C. Annette DuBard",August-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.0047
105,CHRONIC CONDITIONS,chronic conditions,Nearly Half Of Families In High-Deductible Health Plans Whose Members Have Chronic Conditions Face Substantial Financial Burden,"Alison A. Galbraith, Dennis Ross-Degnan, Stephen B. Soumerai, Meredith B. Rosenthal, Charlene Gay, and Tracy A. Lieu",February-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.0584
106,CHRONIC CONDITIONS,chronic conditions,Rising Out-Of-Pocket Spending For Chronic Conditions: A Ten-Year Trend,"Kathryn Anne Paez, Lan Zhao, and Wenke Hwang",January-2009,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.28.1.15
107,CHRONIC CONDITIONS,chronic conditions,Use Of Medical Care For Chronic Conditions,"Sandra L. Decker, Susan M. Schappert, and Jane E. Sisk",January-2009,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.28.1.26
108,CHRONIC CONDITIONS,long-term care,Medical Underwriting In Long-Term Care Insurance: Market Conditions Limit Options For Higher-Risk Consumers,"Portia Y. Cornell, David C. Grabowski, Marc Cohen, Xiaomei Shi, and David G. Stevenson",August-2016,RESEARCH ARTICLE,AGING & HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1133
109,CHRONIC CONDITIONS,long-term care,Medicare Payment Policy Creates Incentives For Long-Term Care Hospitals To Time Discharges For Maximum Reimbursement,"Yan S. Kim, Eric C. Kleerup, Patricia A. Ganz, Ninez A. Ponce, Karl A. Lorenz, and Jack Needleman",June-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0778
110,CHRONIC CONDITIONS,long-term care,Future Demand For Long-Term Care Workers Will Be Influenced By Demographic And Utilization Changes,"Joanne Spetz, Laura Trupin, Timothy Bates, and Janet M. Coffman",June-2015,RESEARCH ARTICLE,AGING & HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0005
111,CHRONIC CONDITIONS,long-term care,China’s Rapidly Aging Population Creates Policy Challenges In Shaping A Viable Long-Term Care System,"Zhanlian Feng, Chang Liu, Xinping Guan, and Vincent Mor",December-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0535
112,CHRONIC CONDITIONS,long-term care,"Long-Term Care Insurance Demand Limited By Beliefs About Needs, Concerns About Insurers, And Care Available From Family","Jeffrey R. Brown, Gopi Shah Goda, and Kathleen McGarry",June-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.1307
113,CHRONIC CONDITIONS,long-term care,Medicare And Medicaid In Long-Term Care,"Terence Ng, Charlene Harrington, and Martin Kitchener",January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0494
114,CHRONIC CONDITIONS,long-term care,The Accumulated Challenges Of Long-Term Care,David Barton Smith and Zhanlian Feng,January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0507
115,CHRONIC CONDITIONS,long-term care,"Bridging Troubled Waters: Family Caregivers, Transitions, And Long-Term Care","Carol Levine, Deborah Halper, Ariella Peist, and David A. Gould",January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0520
116,CHRONIC CONDITIONS,long-term care,New State Strategies To Meet Long-Term Care Needs,"Pamela Doty, Kevin J. Mahoney, and Mark Sciegaj",January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0521
117,CHRONIC CONDITIONS,long-term care,Genetic Testing For Alzheimer’s And Long-Term Care Insurance,"Donald H. Taylor, Robert M. Cook-Deegan, Susan Hiraki, J. Scott Roberts, Dan G. Blazer, and Robert C. Green",January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0525
118,CHRONIC CONDITIONS,long-term care,"Long-Term Care: Who Gets It, Who Provides It, Who Pays, And How Much?","H. Stephen Kaye, Charlene Harrington, and Mitchell P. LaPlante",January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0535
119,CHRONIC CONDITIONS,long-term care,Lessons From Public Long-Term Care Insurance In Germany And Japan,"John Creighton Campbell, Naoki Ikegami, and Mary Jo Gibson",January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0548
120,CHRONIC CONDITIONS,long-term care,Improving The Long-Term Care Workforce Serving Older Adults,Robyn Stone and Mary F. Harahan,January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0554
121,CHRONIC CONDITIONS,long-term care,Applying Market-Based Reforms To Long-Term Care,R. Tamara Konetzka and Rachel M. Werner,January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0559
122,CHRONIC CONDITIONS,long-term care,The Complementarity Of Public And Private Long-Term Care Coverage,"David G. Stevenson, Marc A. Cohen, Eileen J. Tell, and Brian Burwell",January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0920
123,CHRONIC CONDITIONS,long-term care,Increased Spending On Health Care: Long-Term Implications For The Nation,"Michael E. Chernew, Richard A. Hirth, and David M. Cutler",September-2009,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.28.5.1253
124,CHRONIC CONDITIONS,dialysis,How Public And Private Reforms Dramatically Improved Access To Dialysis Therapy In Malaysia,"Teck-Onn Lim, Adrian Goh, Yam-Ngo Lim, Zaki Morad Mohamad Zaher, and Abu Bakar Suleiman",December-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0135
125,CHRONIC CONDITIONS,cardiovascular disease,"Workplace Programs, Policies, And Environmental Supports To Prevent Cardiovascular Disease","Ron Z. Goetzel, Rachel Mosher Henke, Michael A. Head, Richele Benevent, and Chris Calitz",February-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1273
126,CHRONIC CONDITIONS,cardiovascular disease,Cardiovascular Disease Screening By Community Health Workers Can Be Cost-Effective In Low-Resource Countries,"Thomas Gaziano, Shafika Abrahams-Gessel, Sam Surka, Stephen Sy, Ankur Pandya, Catalina A. Denman, Carlos Mendoza, Thandi Puoane, and Naomi S. Levitt",September-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0349
127,CHRONIC CONDITIONS,cardiovascular disease,Increasing Prescription Length Could Cut Cardiovascular Disease Burden And Produce Savings In South Africa,"Thomas Gaziano, Sylvia Cho, Stephen Sy, Ankur Pandya, Naomi S. Levitt, and Krisela Steyn",September-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.0351
128,CHRONIC CONDITIONS,cardiovascular disease,More Americans Living Longer With Cardiovascular Disease Will Increase Costs While Lowering Quality Of Life,"Ankur Pandya, Thomas A. Gaziano, Milton C. Weinstein, and David Cutler",October-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.0449
129,CHRONIC CONDITIONS,cardiovascular disease,A ‘Polypill’ Aimed At Preventing Cardiovascular Disease Could Prove Highly Cost-Effective For Use In Latin America,"Leonelo E. Bautista, Lina M. Vera-Cala, Daniel Ferrante, Víctor M. Herrera, J. Jaime Miranda, Rafael Pichardo, José R. Sánchez Abanto, Catterina Ferreccio, Eglé Silva, Myriam Oróstegui Arenas, Julio A. Chirinos, Josefina Medina-Lezama, Cynthia M. Pérez, Norberto Schapochnik, and Juan P. Casas",January-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0948
130,CHRONIC CONDITIONS,hypertension,"Social, Psychological, And Physical Aspects Of The Work Environment Could Contribute To Hypertension Prevalence","David H. Rehkopf, Sepideh Modrek, Linda F. Cantley, and Mark R. Cullen",February-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1186
131,CHRONIC CONDITIONS,hypertension,"How Cumulative Risks Warrant A Shift In Our Approach To Racial Health Disparities: The Case Of Lead, Stress, And Hypertension","Margaret Hicken, Richard Gragg, and Howard Hu",October-2011,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.1241
132,CHRONIC CONDITIONS,hypertension,Potential Savings In Mexico From Screening And Prevention For Early Diabetes And Hypertension,"Angelica Castro-Ríos, Svetlana Vladislavovna Doubova, Silvia Martínez-Valverde, Irma Coria-Soto, and Ricardo Perez-Cuevas",December-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.0819
133,CHRONIC CONDITIONS,liver disease,Hospitalizations And Costs Associated With Hepatitis C And Advanced Liver Disease Continue To Increase,"Fujie Xu, Xin Tong, and Andrew J. Leidner",October-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0096
134,CHRONIC CONDITIONS,self-management,Adding A Measure Of Patient Self-Management Capability To Risk Assessment Can Improve Prediction Of High Costs,"Judith H. Hibbard, Jessica Greene, Rebecca Sacks, Valerie Overton, and Carmen D. Parrotta",March-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2015.1031
135,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,The Architecture Of Safety: An Emerging Priority For Improving Patient Safety,"Anjali Joseph, Kerm Henriksen, and Eileen Malone",November-2018,REVIEW ARTICLE,QUALITY OF CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0643
136,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Learning From Patients’ Experiences Related To Diagnostic Errors Is Essential For Progress In Patient Safety,"Traber Davis Giardina, Helen Haskell, Shailaja Menon, Julia Hallisy, Frederick S. Southwick, Urmimala Sarkar, Kathryn E. Royse, and Hardeep Singh",November-2018,ANALYSIS,QUALITY OF CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0698
137,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Nurses’ And Patients’ Appraisals Show Patient Safety In Hospitals Remains A Concern,"Linda H. Aiken, Douglas M. Sloane, Hilary Barnes, Jeannie P. Cimiotti, Olga F. Jarrín, and Matthew D. McHugh",November-2018,RESEARCH ARTICLE,QUALITY OF CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0711
138,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Patient Engagement In Health Care Safety: An Overview Of Mixed-Quality Evidence,"Anjana E. Sharma, Natalie A. Rivadeneira, Jill Barr-Walker, Rachel J. Stern, Amanda K. Johnson, and Urmimala Sarkar",November-2018,RESEARCH ARTICLE,QUALITY OF CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0716
139,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Patient Safety In Inpatient Psychiatry: A Remaining Frontier For Health Policy,"Morgan C. Shields, Maureen T. Stewart, and Kathleen R. Delaney",November-2018,ANALYSIS,QUALITY OF CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0718
140,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Does Nursing Home Compare Reflect Patient Safety In Nursing Homes?,"Daniel Brauner, Rachel M. Werner, Tetyana P. Shippee, John Cursio, Hari Sharma, and R. Tamara Konetzka",November-2018,RESEARCH ARTICLE,AGING & HEALTH,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0721
141,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,An Electronic Health Record–Based Real-Time Analytics Program For Patient Safety Surveillance And Improvement,"David Classen, Michael Li, Suzanne Miller, and Drew Ladner",November-2018,RESEARCH ARTICLE,QUALITY OF CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0728
142,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,"Greatest Impact Of Safe Harbor Rule May Be To Improve Patient Safety, Not Reduce Liability Claims Paid By Physicians","Allen Kachalia, Alison Little, Melissa Isavoran, Lynn-Marie Crider, and Jeanene Smith",January-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.0834
143,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,High-Profile Investigations Into Hospital Safety Problems In England Did Not Prompt Patients To Switch Providers,"Anthony A. Laverty, Peter C. Smith, Utz J. Pape, Alex Mears, Robert M. Wachter, and Christopher Millett",March-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0810
144,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Health Reform Holds Both Risks And Rewards For Safety-Net Providers And Racially And Ethnically Diverse Patients,Dennis P. Andrulis and Nadia J. Siddiqui,October-2011,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0661
145,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Legacy Health’s ‘Big Aims’ Initiative To Improve Patient Safety Reduced Rates Of Infection And Mortality Among Patients,"Jodi S. Joyce, George A. Cioffi, Jessica G. Petriwsky, and Jennifer S. Robinson",April-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0024
146,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,A Broad And Structured Approach To Improving Patient Safety And Quality: Lessons From Denver Health,Patricia A. Gabow and Philip S. Mehler,April-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0042
147,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Scotland’s Successful National Approach To Improving Patient Safety In Acute Care,Carol Haraden and Jason Leitch,April-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0144
148,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,Changing The Culture In Medical Education To Teach Patient Safety,Darrell G. Kirch and Philip G. Boysen,September-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.0776
149,PATIENT SAFETY AND ADVERSE EVENTS,patient safety,"Patient Safety At Ten: Unmistakable Progress, Troubling Gaps",Robert M. Wachter,January-2010,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0785
150,PATIENT SAFETY AND ADVERSE EVENTS,adverse events,"Despite 2007 Law Requiring FDA Hotline To Be Included In Print Drug Ads, Reporting Of Adverse Events By Consumers Still Low","Dongyi “Tony” Du, John Goldsmith, Kathryn J. Aikin, William E. Encinosa, and Clark Nardinelli",May-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.1004
151,PATIENT SAFETY AND ADVERSE EVENTS,adverse events,"The Social Cost Of Adverse Medical Events, And What We Can Do About It","John C. Goodman, Pamela Villarreal, and Biff Jones",April-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2010.1256
152,PATIENT SAFETY AND ADVERSE EVENTS,adverse events,‘Global Trigger Tool’ Shows That Adverse Events In Hospitals May Be Ten Times Greater Than Previously Measured,"David C. Classen, Roger Resar, Frances Griffin, Frank Federico, Terri Frankel, Nancy Kimmel, John C. Whittington, Allan Frankel, Andrew Seger, and Brent C. James",April-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0190
153,PATIENT SAFETY AND ADVERSE EVENTS,hospital acquired,"Hospital Pay-For-Performance Programs In Maryland Produced Strong Results, Including Reduced Hospital-Acquired Conditions","Sule Calikoglu, Robert Murray, and Dianne Feeney",December-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0357
154,PATIENT SAFETY AND ADVERSE EVENTS,hospital acquired,Mandatory Public Reporting Of Hospital-Acquired Infection Rates: A Report From California,"Helen A. Halpin, Arnold Milstein, Stephen M. Shortell, Megan Vanneman, and Jon Rosenberg",April-2011,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2009.0990
155,PATIENT SAFETY AND ADVERSE EVENTS,pneumonia,Effect Of A Large-Scale Social Franchising And Telemedicine Program On Childhood Diarrhea And Pneumonia Outcomes In India,"Manoj Mohanan, Kimberly S. Babiarz, Jeremy D. Goldhaber-Fiebert, Grant Miller, and Marcos Vera-Hernández",October-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0481
156,PATIENT SAFETY AND ADVERSE EVENTS,pneumonia,"To Save Children’s Lives, China Should Adopt An Initiative To Speed Introduction Of Pneumonia Vaccines","Hongjie Yu, Weizhong Yang, and Jay K. Varma",November-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.1272
157,PATIENT SAFETY AND ADVERSE EVENTS,drug safety,Efficacy And Safety Concerns Are Important Reasons Why The FDA Requires Multiple Reviews Before Approval Of New Drugs,"Joseph S. Ross, Kristina Dzara, and Nicholas S. Downing",April-2015,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1160
158,PATIENT SAFETY AND ADVERSE EVENTS,adherence,Medication Synchronization Programs Improve Adherence To Cardiovascular Medications And Health Care Use,"Alexis A. Krumme, Robert J. Glynn, Sebastian Schneeweiss, Joshua J. Gagne, J. Samantha Dougherty, Gregory Brill, and Niteesh K. Choudhry",January-2018,RESEARCH ARTICLE,PHARMACEUTICALS & MEDICAL TECHNOLOGY,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.0881
159,PATIENT SAFETY AND ADVERSE EVENTS,adherence,Specialty Drug Coupons Lower Out-Of-Pocket Costs And May Improve Adherence At The Risk Of Increasing Premiums,"Catherine I. Starner, G. Caleb Alexander, Kevin Bowen, Yang Qiu, Peter J. Wickersham, and Patrick P. Gleason",October-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0497
160,PATIENT SAFETY AND ADVERSE EVENTS,adherence,"Adherence With Recommended Well-Child Visits Has Grown, But Large Gaps Persist Among Various Socioeconomic Groups",Salam Abdus and Thomas M. Selden,March-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0691
161,PATIENT SAFETY AND ADVERSE EVENTS,adherence,"Regions With Higher Medicare Part D Spending Show Better Drug Adherence, But Not Lower Medicare Costs For Two Diseases","Bruce Stuart, J. Samantha Shoemaker, Mingliang Dai, and Amy J. Davidoff",January-2013,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.0727
162,PATIENT SAFETY AND ADVERSE EVENTS,adherence,The Large Social Value Resulting From Use Of Statins Warrants Steps To Improve Adherence And Broaden Treatment,"David C. Grabowski, Darius N. Lakdawalla, Dana P. Goldman, Michael Eber, Larry Z. Liu, Tamer Abdelgawad, Andreas Kuznik, Michael E. Chernew, and Tomas Philipson",October-2012,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2011.1120
