,Title,Keywords,Start_Date,End_Date
150,"Higher Risk Of Death In Rural Blacks And Whites Than Urbanites Is Related To Lower Incomes, Education, And Health Coverage",RISK BLACKS WHITES URBANITES RELATED INCOMES COVERAGE,10/2/2011,
151,Retail Outlets Using Telehealth Pose Significant Policy Questions For Health Care,RETAIL OUTLETS TELEHEALTH POSE SIGNIFICANT POLICY QUESTIONS,12/2/2018,
152,Challenges And Opportunities Faced By Large Health Systems Implementing Telehealth,CHALLENGES OPPORTUNITIES FACED LARGE HEALTH SYSTEMS IMPLEMENTING TELEHEALTH,12/2/2018,
153,Are State Telehealth Policies Associated With The Use Of Telehealth Services Among Underserved Populations?,TELEHEALTH POLICIES ASSOCIATED TELEHEALTH SERVICES UNDERSERVED POPULATIONS,12/2/2018,
154,"Telehealth In Health Centers: Key Adoption Factors, Barriers, And Opportunities",TELEHEALTH CENTERS KEY ADOPTION FACTORS BARRIERS OPPORTUNITIES,12/2/2018,
155,The Current State Of Telehealth Evidence: A Rapid Review,CURRENT STATE TELEHEALTH EVIDENCE A RAPID REVIEW,12/2/2018,
156,The Effect Of A Newborn Telehealth Program On Transfers Avoided: A Multiple-Baseline Study,EFFECT TELEHEALTH PROGRAM TRANSFERS AVOIDED BASELINE STUDY,12/2/2018,
157,Connected Health: A Review Of Technologies And Strategies To Improve Patient Care With Telemedicine And Telehealth,CONNECTED TECHNOLOGIES STRATEGIES IMPROVE PATIENT TELEMEDICINE TELEHEALTH,2/2/2014,
158,"For Telehealth To Succeed, Privacy And Security Risks Must Be Identified And Addressed",TELEHEALTH SUCCEED PRIVACY SECURITY RISKS IDENTIFIED ADDRESSED,2/2/2014,
159,Telehealth: Seven Strategies To Successfully Implement Disruptive Technology And Transform Health Care,TELEHEALTH SEVEN STRATEGIES SUCCESSFULLY IMPLEMENT DISRUPTIVE TECHNOLOGY TRANSFORM,2/2/2014,
160,"Telehealth Among US Hospitals: Several Factors, Including State Reimbursement And Licensure Policies, Influence Adoption",TELEHEALTH HOSPITALS FACTORS REIMBURSEMENT LICENSURE POLICIES ADOPTION,2/2/2014,
161,Integrated Telehealth And Care Management Program For Medicare Beneficiaries With Chronic Disease Linked To Savings,INTEGRATED TELEHEALTH MEDICARE BENEFICIARIES DISEASE LINKED SAVINGS,9/2/2011,
162,Remote Patient Management: Technology-Enabled Innovation And Evolving Business Models For Chronic Disease Care,REMOTE PATIENT ENABLED INNOVATION EVOLVING MODELS CHRONIC,1/2/2009,
163,The Hidden Roles That Management Partners Play In Accountable Care Organizations,ROLES MANAGEMENT PARTNERS PLAY ACCOUNTABLE CARE ORGANIZATIONS,2/2/2018,
164,Early Efforts By Medicare Accountable Care Organizations Have Limited Effect On Mental Illness Care And Management,EFFORTS MEDICARE ACCOUNTABLE ORGANIZATIONS LIMITED MENTAL ILLNESS,7/2/2016,
165,Care Management Processes Used Less Often For Depression Than For Other Chronic Conditions In US Primary Care Practices,MANAGEMENT PROCESSES DEPRESSION CHRONIC CONDITIONS PRIMARY PRACTICES,3/2/2016,
166,Managing Chronic Illness: Physician Practices Increased The Use Of Care Management And Medical Home Processes,MANAGING ILLNESS PHYSICIAN PRACTICES INCREASED MANAGEMENT PROCESSES,1/2/2015,
167,Independent Practice Associations And Physician-Hospital Organizations Can Improve Care Management For Smaller Practices,INDEPENDENT ASSOCIATIONS PHYSICIAN ORGANIZATIONS IMPROVE SMALLER PRACTICES,8/2/2013,
168,Integrated Telehealth And Care Management Program For Medicare Beneficiaries With Chronic Disease Linked To Savings,INTEGRATED TELEHEALTH MEDICARE BENEFICIARIES DISEASE LINKED SAVINGS,9/2/2011,
169,In Connecticut: Improving Patient Medication Management In Primary Care,CONNECTICUT IMPROVING PATIENT MEDICATION MANAGEMENT PRIMARY CARE,4/2/2011,
170,Remote Patient Management: Technology-Enabled Innovation And Evolving Business Models For Chronic Disease Care,REMOTE PATIENT ENABLED INNOVATION EVOLVING MODELS CHRONIC,1/2/2009,
171,What Works In Chronic Care Management: The Case Of Heart Failure,WORKS CHRONIC CARE MANAGEMENT CASE HEART FAILURE,1/2/2009,
172,Transitions Clinic Network: Challenges And Lessons In Primary Care For People Released From Prison,TRANSITIONS CLINIC CHALLENGES LESSONS PRIMARY RELEASED PRISON,6/2/2017,
173,Optimizing Person-Centered Transitions In The Dementia Journey: A Comparison Of National Dementia Strategies,OPTIMIZING CENTERED TRANSITIONS DEMENTIA COMPARISON DEMENTIA STRATEGIES,4/2/2014,
174,"How Kaiser Permanente Uses Video Ethnography Of Patients For Quality Improvement, Such As In Shaping Better Care Transitions",KAISER PERMANENTE USES ETHNOGRAPHY IMPROVEMENT SHAPING TRANSITIONS,6/2/2012,
175,"Bridging Troubled Waters: Family Caregivers, Transitions, And Long-Term Care",BRIDGING WATERS FAMILY CAREGIVERS TRANSITIONS TERM CARE,1/2/2010,
176,Coordination Program Reduced Acute Care Use And Increased Primary Care Visits Among Frequent Emergency Care Users,COORDINATION REDUCED ACUTE VISITS FREQUENT EMERGENCY USERS,10/2/2017,
177,Healthy Aging Brain Center Improved Care Coordination And Produced Net Savings,HEALTHY AGING BRAIN IMPROVED COORDINATION NET SAVINGS,4/2/2014,
178,Case Studies Of Orthopedic Surgery In California: The Virtues Of Care Coordination Versus Specialization,ORTHOPEDIC SURGERY CALIFORNIA VIRTUES COORDINATION VERSUS SPECIALIZATION,5/2/2013,
179,Improving The Coordination Of Care For Medicaid Beneficiaries In Pennsylvania,IMPROVING COORDINATION CARE MEDICAID BENEFICIARIES PENNSYLVANIA,3/2/2011,
180,The Effect Of A Newborn Telehealth Program On Transfers Avoided: A Multiple-Baseline Study,EFFECT TELEHEALTH PROGRAM TRANSFERS AVOIDED BASELINE STUDY,12/2/2018,
181,Conditional Cash Transfers And Health Of Low-Income Families In The US: Evaluating The Family Rewards Experiment,CASH TRANSFERS HEALTH FAMILIES EVALUATING REWARDS EXPERIMENT,3/2/2018,
